created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-05-08T21:05:38+00:00,1,134,1.41877,25.20000,69.70000,,,,
2026-05-08T21:27:10+00:00,2,143,1.32545,25.20000,70.60000,,,,
2026-05-08T21:48:46+00:00,3,145,1.30628,24.80000,94.10000,,,,
2026-05-08T22:10:22+00:00,4,149,1.26950,24.80000,95.20000,,,,
2026-05-08T22:31:59+00:00,5,155,1.21787,24.80000,97.20000,,,,
2026-05-08T22:53:35+00:00,6,161,1.17010,24.80000,98.40000,,,,
2026-05-08T23:15:12+00:00,7,167,1.12576,24.80000,99.00000,,,,
2026-05-08T23:36:49+00:00,8,169,1.11168,24.80000,99.60000,,,,
2026-05-08T23:58:25+00:00,9,173,1.08450,24.80000,100.00000,,,,
2026-05-09T00:20:01+00:00,10,175,1.07137,24.80000,100.00000,,,,
2026-05-09T00:41:38+00:00,11,179,1.04600,24.80000,100.00000,,,,
2026-05-09T01:03:14+00:00,12,181,1.03373,24.90000,100.00000,,,,
2026-05-09T01:24:50+00:00,13,183,1.02173,24.80000,100.00000,,,,
2026-05-09T01:46:27+00:00,14,185,1.01000,24.90000,100.00000,,,,
2026-05-09T02:08:04+00:00,15,187,0.99851,24.90000,100.00000,,,,
2026-05-09T02:29:41+00:00,16,189,0.98726,24.90000,100.00000,,,,
2026-05-09T02:51:17+00:00,17,191,0.97626,24.90000,100.00000,,,,
2026-05-09T03:12:54+00:00,18,192,0.97084,24.90000,100.00000,,,,
2026-05-09T03:34:30+00:00,19,199,0.93443,24.90000,100.00000,,,,
2026-05-09T03:56:07+00:00,20,201,0.92450,24.90000,100.00000,,,,
2026-05-09T04:17:44+00:00,21,201,0.92450,24.90000,100.00000,,,,
2026-05-09T04:39:22+00:00,22,203,0.91476,24.90000,100.00000,,,,
2026-05-09T05:00:58+00:00,23,203,0.91476,24.90000,100.00000,,,,
2026-05-09T05:22:35+00:00,24,205,0.90521,24.90000,100.00000,,,,
2026-05-09T05:44:12+00:00,25,205,0.90521,24.90000,100.00000,,,,
2026-05-09T06:05:49+00:00,26,207,0.89585,24.90000,100.00000,,,,
2026-05-09T06:27:25+00:00,27,210,0.88213,24.80000,100.00000,,,,
2026-05-09T06:49:03+00:00,28,211,0.87765,24.80000,100.00000,,,,
2026-05-09T07:10:40+00:00,29,206,0.90051,24.80000,100.00000,,,,
2026-05-09T07:32:16+00:00,30,207,0.89585,24.70000,100.00000,,,,
2026-05-09T07:53:52+00:00,31,211,0.87765,24.70000,100.00000,,,,
2026-05-09T08:15:28+00:00,32,211,0.87765,24.80000,100.00000,,,,
2026-05-09T08:37:05+00:00,33,211,0.87765,24.70000,100.00000,,,,
2026-05-09T08:58:42+00:00,34,211,0.87765,24.70000,100.00000,,,,
2026-05-09T09:20:19+00:00,35,211,0.87765,24.70000,100.00000,,,,
2026-05-09T09:41:56+00:00,36,211,0.87765,24.70000,100.00000,,,,
2026-05-09T10:03:32+00:00,37,210,0.88213,24.70000,100.00000,,,,
2026-05-09T10:25:09+00:00,38,211,0.87765,24.70000,100.00000,,,,
2026-05-09T10:46:46+00:00,39,211,0.87765,24.70000,100.00000,,,,
2026-05-09T11:08:23+00:00,40,211,0.87765,24.70000,100.00000,,,,
2026-05-09T11:29:59+00:00,41,211,0.87765,24.70000,100.00000,,,,
2026-05-09T11:51:37+00:00,42,212,0.87321,24.70000,100.00000,,,,
2026-05-09T12:13:13+00:00,43,211,0.87765,24.70000,100.00000,,,,
2026-05-09T12:34:50+00:00,44,179,1.04600,24.70000,100.00000,,,,
2026-05-09T12:56:27+00:00,45,183,1.02173,24.70000,100.00000,,,,
2026-05-09T13:18:03+00:00,46,185,1.01000,24.80000,100.00000,,,,
2026-05-09T13:39:40+00:00,47,189,0.98726,24.90000,100.00000,,,,
2026-05-09T14:01:17+00:00,48,199,0.93443,24.90000,100.00000,,,,
2026-05-09T14:22:54+00:00,49,201,0.92450,24.90000,100.00000,,,,
2026-05-09T14:44:30+00:00,50,205,0.90521,25.00000,100.00000,,,,
2026-05-09T15:06:07+00:00,51,207,0.89585,25.10000,100.00000,,,,
2026-05-09T15:27:44+00:00,52,211,0.87765,25.10000,100.00000,,,,
2026-05-09T15:49:20+00:00,53,205,0.90521,25.10000,100.00000,,,,
2026-05-09T16:10:57+00:00,54,199,0.93443,25.00000,96.80000,,,,
2026-05-09T16:32:34+00:00,55,201,0.92450,25.10000,99.10000,,,,
2026-05-09T16:54:12+00:00,56,203,0.91476,25.10000,100.00000,,,,
2026-05-09T17:15:49+00:00,57,207,0.89585,25.00000,100.00000,,,,
2026-05-09T17:37:25+00:00,58,210,0.88213,25.00000,100.00000,,,,
2026-05-09T17:59:02+00:00,59,213,0.86881,25.00000,100.00000,,,,
2026-05-09T18:20:38+00:00,60,213,0.86881,24.90000,100.00000,,,,
2026-05-09T18:42:14+00:00,61,215,0.86013,24.90000,100.00000,,,,
2026-05-09T19:03:51+00:00,62,206,0.90051,24.90000,100.00000,,,,
2026-05-09T19:25:27+00:00,63,207,0.89585,24.90000,100.00000,,,,
2026-05-09T19:47:04+00:00,64,211,0.87765,24.90000,100.00000,,,,
2026-05-09T20:08:41+00:00,65,213,0.86881,24.90000,100.00000,,,,
2026-05-09T20:30:18+00:00,66,215,0.86013,24.90000,100.00000,,,,
2026-05-09T20:51:55+00:00,67,217,0.85161,24.90000,100.00000,,,,
2026-05-09T21:13:31+00:00,68,218,0.84741,24.90000,100.00000,,,,
2026-05-09T21:35:09+00:00,69,219,0.84325,24.90000,100.00000,,,,
2026-05-09T21:56:46+00:00,70,220,0.83912,24.90000,100.00000,,,,
2026-05-09T22:18:23+00:00,71,221,0.83504,24.80000,100.00000,,,,
2026-05-09T22:40:01+00:00,72,221,0.83504,24.80000,100.00000,,,,
2026-05-09T23:01:37+00:00,73,225,0.81905,24.90000,100.00000,,,,
2026-05-09T23:23:14+00:00,74,226,0.81515,24.90000,100.00000,,,,
2026-05-09T23:44:50+00:00,75,227,0.81127,24.90000,100.00000,,,,
2026-05-10T00:06:26+00:00,76,229,0.80363,24.90000,100.00000,,,,
2026-05-10T00:28:03+00:00,77,229,0.80363,24.90000,100.00000,,,,
2026-05-10T00:49:39+00:00,78,231,0.79612,24.90000,100.00000,,,,
2026-05-10T01:11:16+00:00,79,231,0.79612,24.90000,100.00000,,,,
2026-05-10T01:32:52+00:00,80,232,0.79241,24.90000,100.00000,,,,
2026-05-10T01:54:29+00:00,81,233,0.78873,24.90000,100.00000,,,,
2026-05-10T02:16:05+00:00,82,233,0.78873,24.90000,100.00000,,,,
2026-05-10T02:37:43+00:00,83,235,0.78148,24.90000,100.00000,,,,
2026-05-10T02:59:19+00:00,84,233,0.78873,24.90000,100.00000,,,,
2026-05-10T03:20:55+00:00,85,237,0.77434,24.90000,100.00000,,,,
2026-05-10T03:42:31+00:00,86,237,0.77434,24.90000,100.00000,,,,
2026-05-10T04:04:07+00:00,87,238,0.77082,24.90000,100.00000,,,,
2026-05-10T04:25:44+00:00,88,239,0.76732,24.90000,100.00000,,,,
2026-05-10T04:47:20+00:00,89,239,0.76732,24.90000,100.00000,,,,
2026-05-10T05:08:56+00:00,90,243,0.75364,24.90000,100.00000,,,,
2026-05-10T05:30:33+00:00,91,243,0.75364,24.90000,100.00000,,,,
2026-05-10T05:52:09+00:00,92,244,0.75029,24.90000,100.00000,,,,
2026-05-10T06:13:46+00:00,93,245,0.74696,24.90000,100.00000,,,,
2026-05-10T06:35:23+00:00,94,245,0.74696,24.90000,100.00000,,,,
2026-05-10T06:57:00+00:00,95,247,0.74040,24.90000,100.00000,,,,
2026-05-10T07:18:37+00:00,96,222,0.83099,24.90000,100.00000,,,,
2026-05-10T07:40:14+00:00,97,222,0.83099,24.90000,100.00000,,,,
2026-05-10T08:01:49+00:00,98,228,0.80743,24.90000,100.00000,,,,
2026-05-10T08:23:26+00:00,99,233,0.78873,24.90000,100.00000,,,,
2026-05-10T08:45:03+00:00,100,234,0.78509,24.90000,100.00000,,,,
2026-05-10T09:06:40+00:00,101,239,0.76732,25.00000,100.00000,,,,
2026-05-10T09:28:16+00:00,102,244,0.75029,25.00000,100.00000,,,,
2026-05-10T09:49:53+00:00,103,245,0.74696,24.90000,100.00000,,,,
2026-05-10T10:11:29+00:00,104,245,0.74696,24.90000,100.00000,,,,
2026-05-10T10:33:06+00:00,105,247,0.74040,24.90000,100.00000,,,,
2026-05-10T10:54:43+00:00,106,247,0.74040,24.90000,100.00000,,,,
2026-05-10T11:16:19+00:00,107,250,0.73074,24.90000,100.00000,,,,
2026-05-10T11:37:56+00:00,108,251,0.72758,24.90000,100.00000,,,,
2026-05-10T11:59:33+00:00,109,251,0.72758,24.90000,100.00000,,,,
2026-05-10T12:21:10+00:00,110,252,0.72444,24.90000,100.00000,,,,
2026-05-10T12:42:45+00:00,111,253,0.72132,24.90000,100.00000,,,,
2026-05-10T13:04:22+00:00,112,253,0.72132,24.90000,100.00000,,,,
2026-05-10T13:25:58+00:00,113,253,0.72132,24.90000,100.00000,,,,
2026-05-10T13:47:35+00:00,114,255,0.71516,24.90000,100.00000,,,,
2026-05-10T14:09:12+00:00,115,255,0.71516,24.90000,100.00000,,,,
2026-05-10T14:30:48+00:00,116,261,0.69725,24.90000,100.00000,,,,
2026-05-10T14:52:25+00:00,117,263,0.69146,24.90000,100.00000,,,,
2026-05-10T15:14:01+00:00,118,265,0.68576,24.90000,100.00000,,,,
2026-05-10T15:35:38+00:00,119,265,0.68576,24.90000,100.00000,,,,
2026-05-10T15:57:14+00:00,120,267,0.68014,24.90000,100.00000,,,,
2026-05-10T16:18:50+00:00,121,267,0.68014,24.90000,100.00000,,,,
2026-05-10T16:40:27+00:00,122,269,0.67461,24.90000,100.00000,,,,
2026-05-10T17:02:04+00:00,123,270,0.67187,24.90000,100.00000,,,,
2026-05-10T17:23:40+00:00,124,271,0.66915,24.90000,100.00000,,,,
2026-05-10T17:45:17+00:00,125,275,0.65849,24.90000,100.00000,,,,
2026-05-10T18:06:53+00:00,126,275,0.65849,24.90000,100.00000,,,,
2026-05-10T18:28:30+00:00,127,276,0.65587,24.90000,100.00000,,,,
2026-05-10T18:50:06+00:00,128,277,0.65327,24.90000,100.00000,,,,
2026-05-10T19:11:42+00:00,129,279,0.64813,24.90000,100.00000,,,,
2026-05-10T19:33:20+00:00,130,279,0.64813,24.90000,100.00000,,,,
2026-05-10T19:54:56+00:00,131,280,0.64559,24.90000,100.00000,,,,
